userId,itemId,objective1,objective2,reward,timestamp
0,0,1.0,0,0.6000000000000001,1581860788.0
1,1,1.0,0,0.4869503546099291,1582089291.0
2,2,0.0,0,0.2157682177348552,1581930897.0
3,3,0.0,1,0.6000000000000001,1581785136.0
4,4,0.0,1,0.4,1581924866.0
5,5,1.0,0,0.43598560575769696,1581775297.0
6,6,1.0,0,0.4248052726183344,1582017062.0
7,7,1.0,0,0.6865085854456255,1582007850.0
8,8,1.0,0,0.6000000000000001,1580611077.0
9,9,0.0,0,0.2210843768438996,1581122093.0
10,10,0.99,0,0.5980000000000001,1581808561.0
11,11,1.0,1,0.6216116282034936,1581812064.0
12,12,1.0,0,0.4110857664233577,1581820428.0
13,13,0.27,0,0.2773439442170684,1581929627.0
14,14,0.01,0,0.3269174917491749,1581881869.0
15,15,1.0,0,0.6000000000000001,1581911328.0
16,16,1.0,0,0.6396359959555107,1581781707.0
17,17,0.99,0,0.5980000000000001,1581953774.0
18,18,0.31,0,0.4889005847953217,1581686068.0
19,19,0.11,0,0.422,1581866813.0
20,20,1.0,0,0.6000000000000001,1581789843.0
21,21,1.0,0,0.6000000000000001,1581852249.0
22,22,0.01,0,0.17787908698334365,1581878404.0
23,23,0.3,0,0.5516927899686521,1581703607.0
24,24,1.0,1,0.8,1581957902.0
25,25,1.0,0,0.5191090269636577,1581836229.0
26,26,1.0,0,0.6263235167112877,1581777568.0
27,27,1.0,1,1.0,1581972049.0
28,28,0.82,0,0.5425977859778599,1581641643.0
29,29,1.0,0,0.6000000000000001,1581819645.0
30,30,0.67,0,0.2853483764446891,1581816170.0
31,31,1.0,0,0.4099501992031873,1581768225.0
32,32,1.0,0,0.6000000000000001,1581777801.0
33,33,1.0,0,0.4105453813644597,1579433242.0
34,34,1.0,0,0.5129479216435738,1582008188.0
35,35,1.0,0,0.4227878305826208,1581995746.0
36,36,1.0,0,0.6000000000000001,1581829699.0
37,37,1.0,0,0.4045808002262124,1581823575.0
38,38,1.0,1,0.8,1581740616.0
39,39,1.0,0,0.6000000000000001,1581769094.0
40,40,1.0,0,0.4919213973799127,1581762981.0
41,41,0.21,0,0.2451774247305855,1581965859.0
42,42,0.02,0,0.287703071672355,1581213840.0
43,43,1.0,0,0.7162207357859531,1581732772.0
24,44,1.0,0,0.6000000000000001,1581916290.0
44,45,1.0,0,0.5503623188405797,1581818572.0
45,46,1.0,0,0.6000000000000001,1581921403.0
46,47,1.0,0,0.5133090909090909,1581838347.0
9,48,0.0,1,0.6000000000000001,1581965518.0
47,49,1.0,0,0.6044169272994192,1582036784.0
48,50,1.0,0,0.6000000000000001,1582097430.0
49,51,1.0,0,0.6000000000000001,1582020751.0
50,52,1.0,0,0.5362776025236593,1582098963.0
51,53,0.0,0,0.4,1581818709.0
52,54,0.05,0,0.21550357732526146,1581975381.0
53,55,1.0,0,0.41894082680356665,1582044485.0
54,56,0.1,0,0.2467723365665169,1580881511.0
55,57,1.0,0,0.4995356690586746,1581974826.0
56,58,0.92,0,0.2824802431610943,1580683369.0
57,59,0.98,0,0.5637675033025099,1581735952.0
